공시일,기업명,보고서명,접수번호,출처,링크
2026-07-27,한국첨단소재,주요사항보고서(자기전환사채만기전취득결정),20260727000402,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000402
2026-07-27,선광,[기재정정]최대주주변경              ,20260727900810,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900810
2026-07-27,종근당홀딩스,투자판단관련주요경영사항(자회사의 주요경영사항)              (고혈압 치료제로 개발중인 CKD339의 식약처(MFDS) 제3상 임상시험 계획 승인),20260727800807,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800807
2026-07-27,종근당,투자판단관련주요경영사항              (고혈압 치료제로 개발중인 CKD339의 식약처(MFDS) 제3상 임상시험 계획 승인),20260727800806,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800806
2026-07-27,비케이홀딩스,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),20260727900781,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900781
2026-07-27,아이스크림에듀,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),20260727900782,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900782
2026-07-27,씨엑스아이,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),20260727900779,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900779
2026-07-27,형지I&C,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),20260727900780,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900780
2026-07-27,삼보산업,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),20260727900775,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900775
2026-07-27,선광,최대주주변경              ,20260727900769,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900769
2026-07-27,화승인더스트리,최대주주변경              ,20260727800776,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800776
2026-07-27,다원시스,주권매매거래정지기간변경              (상장폐지 사유 발생),20260727900778,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900778
2026-07-27,KG케미칼,의결권대리행사권유참고서류,20260727000404,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000404
2026-07-27,한솔홀딩스,[기재정정]주식소각결정(자회사의 주요경영사항)              ,20260727800773,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800773
2026-07-27,대영포장,주주명부폐쇄기간또는기준일설정              ,20260727800774,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800774
2026-07-27,브이아이자산운용,증권발행실적보고서(집합투자증권)(브이아이공모주플러스10증권투자신탁1호[채권혼합]),20260727000120,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000120
2026-07-27,브이아이자산운용,증권발행실적보고서(집합투자증권)(브이아이굿초이스배당증권자투자신탁1호[주식]),20260727000123,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000123
2026-07-27,브이아이자산운용,증권발행실적보고서(집합투자증권)(브이아이실적포커스30증권투자신탁1호[채권혼합]),20260727000126,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000126
2026-07-27,덕신이피씨,[기재정정]주권매매거래정지              ,20260727900771,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900771
2026-07-27,한솔테크닉스,[기재정정]주식소각결정              ,20260727800763,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800763
2026-07-27,해성에어로보틱스,[기재정정]최대주주변경을수반하는주식담보제공계약체결              ,20260727900768,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900768
2026-07-27,프랭클린템플턴투자자문,[기재정정]일괄신고서(집합투자증권-회사형)(프랭클린템플턴인베스트먼트펀드(FranklinTempletonInvestmentFunds)),20260727000390,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000390
2026-07-27,나노씨엠에스,영업(잠정)실적(공정공시)              ,20260727900704,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900704
2026-07-27,다원시스,기타시장안내              (기업심사위원회 개최 결과 안내),20260727900761,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900761
2026-07-27,대영포장,주주총회소집결의              ,20260727800762,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800762
2026-07-27,유엑스엔,[기재정정]주요사항보고서(전환사채권발행결정),20260727000399,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000399
2026-07-27,화승인더스트리,최대주주등소유주식변동신고서(최대주주변경시)              ,20260727800767,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800767
2026-07-27,서울평가정보,임원ㆍ주요주주특정증권등소유상황보고서,20260727000400,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727000400
2026-07-27,티엔엔터테인먼트,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",20260727900758,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900758
2026-07-27,PI첨단소재,주주총회소집결의              ,20260727800734,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800734
2026-07-27,대영포장,주식병합결정              ,20260727800753,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800753
2026-07-27,롯데관광개발,주주명부폐쇄기간또는기준일설정              ,20260727800751,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800751
2026-07-27,코맥스,기타시장안내              (기업심사위원회 개최 결과 안내),20260727900750,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900750
2026-07-27,PI첨단소재,주주명부폐쇄기간또는기준일설정              ,20260727800730,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800730
2026-07-27,아센디오,투자유의안내              ,20260727800690,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800690
2026-07-27,씨메스로보틱스,[기재정정]단일판매ㆍ공급계약체결              ,20260727900722,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727900722
2026-07-27,메타케어,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)              ,20260727800736,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260727800736
